Diagnosis,count
hemorrhoids - since 6 month,1
cold since 3 dayd,1
- anemia.,1
lmp--2,1
generalized body pain improved after last prescription,1
hypothyroidism on thyroxine 50mcg.,1
body pain since  4 day,1
one episode a week ago,1
tonsilitis (3 month pregnant),1
weight increasing,1
eye irritation c pain c weakness,1
preganancy,1
swelling in body( after medication),1
ganglion in left hand,1
ringworm c  weakness c pain in rt feet after trauma,1
rt leg pain sprain after fall c hypotension c emaciation,1
leucorrhea mild since 3 month,1
antifungal's since a month but no relief,1
on repeated medication of antibiotics,1
deworming; loss of appetite,1
mouth ulcer x 3 days,1
urti  weakness,1
body ache; low bp,1
rt leg edema,1
numular eczema in both feet since 15yrs,1
pain; no h,1
myalgia+ chelitis,1
nutritional deficiency (post partum) 18 days.,1
hypoglycemia weakness fever,1
indigestion c lumbago c ringworm c weakness  c hypertension,1
leucorrhoen,1
acute  cough,1
nuttritional def,1
body pain +and headache +,1
out chest pain,1
heavy breathing since 4 month,1
shortens of breath,1
vertigo; tension type headache,1
as informed by son--58yr old lady has low grade fever,1
rt knee pain after trauma,1
weakness + since 10 day,1
nausea 4 epsiodes + yesterday,1
blood since1 yr,1
watery discharge fro eyes,1
knee pain wiht tingling sensation legs,1
under right eye,1
retrosternal pain +,1
hypertrophic keloid scars in lateral malleoli of ankles,1
pain in extremities since 5months.,1
pain in body headache,1
cut wound on left arm about 15 days old,1
back weakness,1
viral fever wit leg pain,1
sacroiliac dysfunction,1
leg pain c weakness due to anemia,1
generalized  bodyache,1
sebacious cyst,1
- repeated miscarriage,1
fever cough colg,1
random blood sugar-181 mg,1
pain in abdomen c gastritis c  weakness,1
burning sensation over chest n anorexia,1
rt eye problem,1
polydypsia polyuria,1
post fracture helaed,1
deep cracked soles,1
weakness anorexia low bp,1
rheumatic arthritis,1
gastritis c indigestion c obesity c hypertension   c weakness c piles bleeding,1
report showing hypercholesterolemia-241 mg,1
indigestion c weakness c primipara  4 month  duration preg,1
toe web,1
allergy skin  hands  finger,1
lumbago  c shoulder pain c numbness  in limbs c weakness,1
gas since 1month,1
cough (chronic snoker) copd,1
pain ineyes weakness,1
pain at the suture site,1
hand skin allergy,1
pain body cough itching all over body,1
hypopigmented patches over the skin,1
leg pain [ sciatica  ],1
fever 8days,1
consumption,1
pain toe,1
frequent episodes of muscle spasm,1
o asthma in childhood. m,1
allergic rhinitis on frequent dosage of inhalers since 7yrs.,1
36yr old male  allergic rhinitis since 5yrs,1
piles (. bleeding),1
cough 8days,1
want to discuss report,1
fall from tree 15days,1
tinea inguialis,1
right sided eye redness,1
leuccohhoea,1
hysterectomy done 3yr back,1
frequent episodes of nausea (subclinical gastro-enteritis) since 15days,1
whitish patch in skin,1
pain in abdomen\\weakness,1
injury over the right leg.,1
pedal edema on,1
backache c weakness c  diabetes c allergic  rhinitis,1
itching(conjuctivitis),1
allergy  itching  whole  body,1
weakness    leg  pain,1
bodypain  pt told about cardiac problems,1
cough( since 3 months),1
pruitus,1
esr - high - 36 mm,1
uric cid - 6.8,1
back pain-  injury to back,1
lymph node pain,1
h--normal since 2months after polymenorrhagia for 6months,1
wt--45kg. m,1
hb - 5.4 gm%,1
ammenorrhea - 1 years,1
joint pain post chickenguniya,1
abcess on abdomen,1
_nerve pain,1
swelling right thigh,1
itching in beetween thighs,1
tonsilitis +,1
itching over face + since 2 day,1
minimal pain in abdomen + intermittent 2 week,1
acute abdomen -gastritis associated,1
injury to head by fall,1
no relevant documents present,1
molar pain,1
back pain-  injury 4 months back,1
widal test - 1:320+ (strongly positive),1
ddx. psoriasis,1
27.04.24 lab report :- hb -10.4,1
pain of toe on left feet,1
crack on feet,1
blurred eye,1
diminished vision lt eye,1
o injury 1 year back,1
right foot pain (injury ),1
injury],1
chronic back pain[past fall,1
thickened skin on forehand,1
discahrge (1 year),1
partially red,1
l ; urti,1
tinea pedis; t,1
vitamin deficiency. dehydration,1
pain in lleges,1
dental issues,1
blackish lesion,1
3month and.  weakness,1
1st time pregnant,1
fever pain abdomen gas,1
fever  past 1 month,1
weakness c anorexia  c low fever c  pinworm infest.,1
headache wealness,1
body ache; fever for evaluation,1
pedal edema since four months,1
loose stools x 1 yr 5-6 episodes,1
acne over body,1
abdomen pain [4days],1
need advise for memory loss,1
leucorrhea 15days,1
headache (during heavy work),1
leg pain c cramp in calves c  weakness  due to anemia,1
lcb--5yrs.,1
need advise for  cold,1
4days. p2l2,1
no bowel complaints. m,1
frequent episodes of pain in right iliac fossa since 3yrs,1
chronic headache c upper respiratory tract infection c weakness,1
pain elbow (blunt injury to elbow joint 1 month back),1
burning feet [nutritional def ],1
itching  oh head,1
was given albendazole tab 1month back,1
colicky x 6 months,1
post injection pain ( rt. buttock),1
tirednss,1
face vitiligo,1
dyspepsia. headache,1
nvd 9 months back,1
itching of skin over hand s,1
tooth development,1
low bp; giddiness,1
swlling of feet,1
p ischemic stroke; body ache; htn,1
head  injury (yesterday night),1
body pain since 4 month,1
hedeache,1
peripheral tingling,1
milk secretion from breast,1
dermatitis - palm,1
l buttocks region,1
cervical s[pondylosis,1
stomachache mouth ulcer,1
body ache; right shoulder pain- non radiating,1
pain elbow occassionally,1
l knee oa ; shortness of breath,1
left elbow pain [  weakness ],1
tension type headache; body ache; dm type ii,1
abd pain - left sided,1
sugar need advice,1
rt sided submandibular area pain-submadibular sialadenitis,1
renal stone(4mm),1
voice becomes hoarse on talking long since 1yr (chronic pharyngitis),1
back pain weakness',1
weakness hb 9.2,1
3month,1
2nd time pregnant,1
left foot pain post injury,1
loss appetitie,1
itching on the fingers,1
leg pain'  weakness,1
dilated cardiomyopathy,1
hard of hearing since 15 days,1
fungal skin inf,1
chest pain (fell down 20 days ago),1
minor cut injury on nose.,1
body pain + since 1 week,1
pain on lt cheek near ear.,1
post fall blunt trauma,1
post hysterectomy - gastritis,1
dry cough x 15 days,1
white,1
prurigo simplex since 2yrs,1
chest pain c  numbness c weakness on exertion c hypertension,1
bodyache x 3 days,1
pain in wrist jt,1
valvular,1
paraesthesia over ankle,1
dengue (on pvt trt),1
irritants,1
patient has  contact,1
dermatitis on b,1
blunt trauma few days back,1
low back ache  x 3 d,1
upt negative.,1
tingling sensation over the whole body.,1
itching on 3rd finger of leg,1
ag 45 yrs,1
diabetes mellitus gastritis,1
burning sensation in feet since 8 yr,1
(already taken medicine before 10days),1
bodyache vaginal discharge,1
chest pain on drinking water also,1
mild dimness of vision,1
headache c weakness c hypertension,1
left knee pain- 1 month,1
rt sided nephrolithiasis(on medication),1
o injury to head 7-8 days ago,1
paiin in lowerlimb,1
t2dm. stopped medications since 1month,1
l leg  pain,1
chronic diarrhoea since 1m,1
pain in hip weakness,1
right side mastitis,1
indigestion c thigh pain after fracture c weakness,1
right side loin pain since 1 month,1
ganglion left hand,1
low back pain since  3month,1
tyhphoid  fever,1
hypothyroidism. stopped medications since 3months,1
cold for 1month,1
swollen feeling in heels,1
cracked heels since 6 years,1
itching over body since 6 days,1
20yr old lady worried about obesity,1
leucorrhea + sicne 3 month,1
l foot tingling sensation,1
htn. was prescribed glasses. (presbyopia),1
anti fungal medicine,1
has improved,1
painn in abdomen,1
chronic irritant dermatitis since 1month,1
body ache; gerd,1
under breastfed,1
o :- left  ear injury since 2 month,1
body pain since 1 week h,1
vertigo urti,1
backache  due to heavy weight lifting,1
indigestion c pain in abdomen c weakness c numbness in limb c  bodyache periodical,1
headache c weakness  c scalp allergy,1
post fall rt foot,1
prurtis over inguinal region,1
body pain since 20 day,1
tmj dysfunction,1
driver as profession,1
(intolerance to calcium tablets),1
wound over lt index finger,1
headache [ weakness ],1
indigestion c weakness c hypotension,1
lt side  knee pain (post traumatic),1
cough  productive x 20 days,1
headache pain in body,1
skin peel off palm,1
filariasis in scrotal region,1
left ear pain since a month,1
gastritis ( chest pain),1
dysuria since 2months,1
lumbago c neck pain c knee pain c lumbar spondylosis c hypertension,1
tension type headache;,1
stomach ache low backache,1
toothache- dental caries,1
anusitis,1
pityraisis vesicoloris,1
mouth not open widely,1
fever headache since 4 day,1
pain in the leg after injury,1
skin infectin,1
pustular pimples,1
fever  cough cold  sore throat,1
(patient advised for ugie from pgi),1
hematiohezia,1
shoulder pain since 5 day,1
arthritis knee c weakness c backache,1
eye - epiphora,1
cols cough,1
bodypain weaskness,1
pt age is 40 y***,1
menorrrhagia,1
leucorrhea; t,1
gastritis+ headache+ malasie,1
fungal infection of hand,1
exaggerated on standing long,1
leg  pain  wound,1
leg pain back pain gastritis,1
varicella zoster infection,1
rbs - 310 mg %,1
serum lipid profile as on 1,1
24---wnl,1
ecg as on 30,1
no associated breathing difficulties. no h,1
walking straight,1
l hypochondriac area since 1month,1
headache cough chest pain,1
70yr old  pain in sternal region,1
lumbago c weakness c indigestion c bodyache c headache   periodical,1
preganacy weakness,1
gastritismouth ulcer,1
itching in between fingers since 2 month,1
peeling dead skin on foot,1
weakness c anorexia  c emaciation,1
htn on tab stamlo 5,1
leg injury - due to nail,1
already taken medicine previously twice this month),1
hypertension (on regular medications),1
chr.liver disease,1
headache c weakness c colitis,1
cgh cold,1
ricket underevaluation,1
pregnancy  underevalutation,1
backpain adn gastritis,1
head pain (left temporal) (h,1
known gastric ulcer,1
gastritis+ ringworm+ malaise,1
high bp - on off,1
cough weakness eye discharge,1
water from eye for long time,1
aneami,1
upper respiratory tract infection c weakness  c bodyache c indigestion,1
peripheral disease disorder,1
upper respiratory tract infection c bodyache,1
locker weakness,1
right chest --- frequent since 9months,1
pain in abdmoen,1
o acute appendicitis,1
burning sensation sole,1
cough cold   body pain,1
o epilepsy.,1
skin allergy (cement reaction),1
itchy rash on leg.,1
o- uterine fibroids,1
polyemenorrhea,1
bp- 151,1
onychomycosis  cause,1
52yr old male has t2dm on regular medications,1
headche gas cold cough,1
left upper limb pain c abrasion at left side forehead,1
skin problems vitiligo,1
insect bite on right hand fingers 5-6 days ago,1
itching over right hand fingers,1
fever cough cold since8 days,1
xeroderma on palms,1
nausea during headache,1
discomfort in eye on sun exposure,1
t fall from bike,1
injuryd,1
dyspenia,1
right shoulder pain (previous trauma ),1
excessive  perspiration,1
pain eye  headache,1
pain in throat  fever,1
age 47 years,1
bleeding happened,1
no antenatal check up done till now,1
patient is pregnant( 2.5 months),1
minimal fever since 3 month,1
platelet deficiency,1
hemorrrhoids (bleeding),1
to rule out koch's,1
fever adn vomiting,1
rt shoulder pain - frozen shoulder since 3 month,1
alchol,1
w chills x 10 days,1
pain lt hand (injury 5years),1
weakness c  anorexia c ringworm,1
\\body pain,1
body swelling oedema,1
leucorrhea mild +,1
(on antibiotics d4 today),1
chest pain - non radiating,1
( widal test positive ),1
pain in hand post injury 2 months back.,1
w dyspnea,1
expectoration x 3 days,1
pustular lesion over the abdomen,1
o faintness present on speaking,1
white spot on iris,1
gas weakness cough,1
o  kochs since 1 year back,1
lack of appetite occasional pain abdomen,1
spinal column pain,1
tedia pedis,1
tooth injury,1
o fever. menarche not yet,1
12yr old child  pain in extremities,1
skin infection ( pustular acne),1
pain in the back since c section,1
back pain 'weakness,1
fibroid on treatment,1
injury from ear piercing,1
face abrasion- after injury,1
skin pilling palms,1
swelling in both lower limb,1
itching in between thighs..,1
irritation  since 1 month,1
point tenderness @ the elbow joint,1
swelling  effusion,1
back pain    fever for   1 day,1
pain  shoulder  nleg,1
breast lump - right sided,1
left eye lid swelling,1
extensive ringworm lesions in back,1
dysentery since two days,1
constipation .. fissure -in-ano,1
alopecia c weakness,1
swelling  inner canthus,1
skin circular rashes,1
pharyngitis -  allergic,1
swelling localised,1
chronic cough(dry),1
headache   periodicalc  c indigestion c  weakness,1
tooth eruption disorder.,1
hand swelling after fracture,1
itching over body since many years not relieved,1
nasopharyngitis since 10days after an episode of fever,1
rat hand pain,1
osa-ohs,1
breathing difficult for 10 on nd off,1
itp (idiopathic thrombocytopenic purpura),1
"24 95kg. ht--5'7"". takin optimoslim powder daily after dinner",1
wt on 9,1
wt--78kg reduced from 102kg in 1yr,1
pain thigh,1
tiredness(due to hypotension),1
pregnancy  3  months  para  3      gravida  4th  nausea  vomiting     fever  cold   headache,1
lbp (post tumour operation),1
poor weight gain; body ache,1
hearing loss (r),1
knee pain[injury 4 days back],1
hands legs swelling,1
weakness c anorexia c hypotension,1
decreased vision since 1 year,1
ear pain  weakness,1
weakness last 15 days,1
bp  pain in abdomen,1
acidity cough cold weakness,1
leukorrea body pain',1
chronic smoker 3 pack of biddi,1
left knee pain [ injury  ],1
stomach pain  adn body pain,1
acute gastroenteritis+ headache,1
fever for which has taken medication,1
generalized weakness. increased urinary frequency,1
dry eyes; no difficulty in vision,1
sticking,1
irregular menses -  cause,1
eye pain  itching of skin,1
difficult vision [eye problem ],1
known case of  pancreatitis on medication,1
frequent episodes of malaise (essential nutrient deficiency),1
malaise c bodyache c faintness due to  anemia,1
anxiety n tingling sensation over body,1
htn. smoking ++,1
mass in the anal canal,1
anorexia+  scabies,1
1 swelling in legs,1
abdominal pain (epigastric region ) since years,1
jaw pain (  ) injury on the site,1
body paine,1
varicose viens[one leg operated],1
o accident 3 years back,1
not clear in the picture,1
whole body itching since 3months,1
white scars over lip,1
scabies+ gastritis,1
boil (on leg),1
burning sensation - feet,1
leg pain left side for 3days,1
eye pain c eye infection  no fever but temp showing high c hypotension,1
cough cold  acidity body pain,1
dermatitis on feet,1
diagnosed jaundice not on medication,1
hypertension on medication on,1
abscess in nose,1
tooth ache (increased sensitivity). too much chocolate intake,1
indigestion c reness of penis c itching  dermatiits c dysuria,1
frequent malaise since 1year,1
ulcers on chest,1
lmp: 5 m back since last child birth,1
pain abdomen since 2 days,1
headache diarrhoea,1
cold ough,1
lathargy,1
skin rash hypersensitive,1
l shoulder pain  -  nutritional deficinecy  cause -,1
fungal itching in body,1
abdominal pain food poisoining,1
cervical kyphosis,1
x-ray shows osteopenia,1
tooth sensitivty,1
knee pain c weakness c swelling  in body,1
o dm present,1
dull skin,1
temp---99.6f,1
nightly fever since 2days,1
pain in heels (nutritional calcium deficiency),1
skin pruritis - scabies,1
chf doe,1
weakness fever cough  body pain,1
melasma ( itching),1
itching on lesion,1
non-progressive thoughts,1
malaise frequent since 2months (psycho somatic),1
dysuria for evlauation,1
iching in body,1
obesity ( overweight),1
pain ( nasal bone fracture 7 months back),1
hi pain,1
diabetic( irregular medication),1
x ray ls spine wnl,1
abscess  wound on elbow,1
lba post fall 1 month back,1
psoriasis (on scalp),1
chronic gastritis (ibs,1
allergic rashes on lt. arm,1
fevr since 5 days,1
o fall 1 month back ),1
stool in blood,1
head injury (post fall from bike),1
fever since 10 days loose motions,1
black spot elbow,1
cataract of left eye,1
pain  back  leg   weakness,1
vomiting (upt -ve),1
left feet neuralgia,1
rt shoulder pain since 1 month,1
swelling in finger[injury],1
indigestion  c  pain in abdomen   upper part  periodical  c distension of abdomen c  constipation c  piles,1
allergy pain,1
weakness c anorexia  c pin worm infestation,1
body acne.,1
itcing,1
low back ache radiating to limbs,1
back pain neck  pain,1
low back pain( fall injury 1day back),1
conjunctivitis of left eye due to trauma,1
weakness c upper respiratory infection c skin allergy,1
rt. heelache c weakness  c scabies,1
fever 4m,1
7 times loose motion from morning,1
daily 5 times vomiting,1
loose motion for 4 days,1
midline neck swelling,1
asthma ( on meds),1
pain in eye since 4days,1
fracture (left leg),1
cough cold   fever,1
foot  lt >rt,1
red eye since 12 days,1
1 paronychia,1
headache periodical c  leg pain c weakness,1
right ankle pain (previous  injury),1
h--22-26,1
evening. no h,1
exaggerated in morning,1
cervical region.,1
blurred vision[near objects],1
swelling both legs,1
ulcer in mouth since 5 days,1
acyte pharyngitis+ scabies,1
fracture due to trauma 1 month back,1
pain during sitting,1
o fall from height in sitting position,1
prickly head rash,1
weakness+pharyngitis,1
weakness c anorexia c rt ear discharge c itching in rt ear  c earache rt,1
sun allergies,1
aciidental injury,1
cut injury left hand,1
common cold since 2 day(asthmatic pt),1
post hysterectomy weakness,1
chest pain palpitations since 4 days,1
cough since 4 months (copd tb),1
arthritis knee joint  c burning sole c weakness,1
mother wants antacid syrup for this kid,1
pain  abdomen   gas,1
cold  ncough,1
reduced vision in right eye following trauma 1 month ago,1
coughing since 2 weeks,1
pain over both knee joint,1
cholestrol mild high,1
mennorahagia,1
anaemia (diagnosed 10 days ago),1
cough (recurrent),1
conjunctivitis[chronic dacrocystitis],1
back pain - upper,1
toothache sensitivity,1
not on medication now,1
weakness (post herpes),1
gall stone (alleged ),1
indigestion  c dyspnoea c diabetes,1
general body swelling-hormonal.imbalance,1
o :- left arm operation in november metalic rods in situ +,1
cement allergy in the hands,1
wound over dorsum of right foot,1
weakness sob,1
anc-8 mnt,1
back pain after fall 15 days ago,1
headache weakness eye vision problem,1
corynibacterium capitis,1
seborreic capitis,1
itching in facing scalp since 1yr,1
o tsh,1
lcb---3yrs. tubectomy done.,1
worried about obesity. wt--85kg,1
tingling in th eextremities,1
readting shoulder,1
colic abdomen since 3days,1
polymenorrhea- 1 month,1
loos motion  weakness,1
shortness of breath  for 1 month,1
hyperpigmetion over face,1
heavy breathing,1
indigestion c pain in abdomen  c renal calculi  rt kidney c diabetes  c hepatospleenomegaly in recent usg,1
red rashes +,1
left heel pain after fall,1
loose motion 5 episodes since morning,1
lumbago c weakness  c u.r.t.i.  c leg pain c diabetes,1
subsequent bruising,1
uti headache,1
allergic rhinitis since 6 months,1
watering in right eye,1
weakness ( breastfeeding mother),1
stomach pain'  loos motion,1
bursitis of coccyx bone,1
( weakness (breast feeding mother ),1
as informed by mother --- 16yr old  cough since 1month,1
itching due to sweating,1
upt negative which was done 10 days ago,1
ringwolrm,1
pain abdomend,1
5 month of amenorrhea,1
fever  cough body ache,1
on medications for htn,1
76yr old lady  sour taste in mouth,1
gastric  problem,1
treated for pulmonary kochs for 9 months.,1
left leg pain following injury,1
lt great toe pain due to injury,1
t gstric ulcer discovered 1 yr back,1
alcohol dependency,1
wall,1
sputum since 2 weeks,1
pain in neck to legs,1
o injury to left leg 2 years back,1
inabiloity to take solids,1
kidney stones pain,1
weakness  since 2 month,1
herpes inf,1
l) since 5yrs,1
inguinal hernia (b,1
piting edima all over the body,1
l knee pain- 4 yrs,1
foot pain (l),1
weakness c sleepiness excessive c anorexia,1
no bloating,1
no stools passed today,1
two episodes of vomiting,1
backache fr 1month,1
6 mnth pregnant women,1
artife,1
face allergy to soap c weakness due to anemia,1
loose motion at times,1
leg pain  n   swelling,1
pain in hand foot,1
suspected fb in throat,1
left cheek,1
lower back ache since 8yrs after a fall,1
myalgia [ injury ],1
a 50 yr old female complains weakness,1
left foot pain [ plantar fascitis  ],1
heel pain [ weakness  ],1
advised operative procedure  spondylosis,1
since 10 day,1
chronic cough since 3days. ddx pneumonia,1
geenrallised weakness,1
knee pain( trauma),1
indigestion c headache periodical c weakness  due to anemia,1
low grade fever- 4 days,1
elbow joint pain',1
persistant,1
cough past 1 month,1
pruritis-vaginal candidiasis,1
myalgia (spondylitis),1
allergic   rhinitis  headache,1
anorexia c weakness c faintness after abortion,1
sprain in feet,1
burning in skin,1
leg apin since 5 days,1
chest pain on lifting heavy objects,1
18yr old boy (school dropout working as tailor)   chronic folliculitis since 2months,1
t some physical condition,1
mild insomnia,1
tingling sensation in hands [3 months],1
hypertension (on,1
scabies for 3 year,1
swelling below ears b,1
arm pain [injury],1
pt is on ecospirin,1
melena[1 week],1
epigastric pain [1 week],1
according to pt attendant he was advised to take less salt d,1
o injury due to animal attack 2 days back,1
walk properly,1
unable to talk,1
abrasion on skin due to hot iron,1
pain in body after fall; mild sprain,1
toothache   fever,1
filariasis since 2 year backs,1
headache since 10 years along,1
crack at heel c anorexia  c weakness,1
wound on left toes,1
gastritis c anorexia c pain in abdomen,1
exfoliation of skin of soles,1
swollen gums since 6 days,1
loose motion c weakness c pain in abdomen  c indigestion  c anorexia,1
knee pain c leg pain c obesity c  hypertension,1
bilateral knee joint paim,1
knee pain c elbow pain  c weakness thermometer showing   high temp  patient not saying fever to her,1
o- cystitis,1
leg   wound  weakness,1
cervical pain  under evaluation,1
tinglig,1
pain mutiple joints,1
primary infertifilty,1
chronic episodic itching all over body,1
scabies  leg pain,1
abdominal pain 3 days,1
false labour pain,1
dm ( irregular medication ),1
5 m pog,1
vitamin supplements,1
has loose motions,1
o injury to right knee one month back,1
dry cough (allergic),1
psoriasis  on rx,1
polymenorrhoea. nvd 8 months back,1
skin lesion  c blackish discoloration,1
scaly pateches on palms,1
allergic airway disease c bodyache c rt side throat pain c rt side pharyngitis,1
pain in foot ( rt.),1
age 9 yrs,1
loose motion 4 to 5 episodes since 1 day,1
skin infection over scalp area,1
cough  dry for 2 month,1
anemia as per the patient,1
pain in left hand after fall. (abrasion in finger),1
diabetes mellitis,1
thyroid disorder -non compliance to medications,1
diabetes mellitus - uncontrolled,1
chest pain- mild; no breathlessness,1
off cough through years,1
loose motions since 15 day,1
loose motion c pain in abdomen c anorexia c chr .knee pain c weakness c indigestion c hypotension,1
arthralgia+ toe nail injury,1
heel pain [ weakness],1
pain in legs post traumatic,1
sialorrhoea,1
eye pain by injury,1
assaulted  case,1
cough for 6 days,1
no palpitation (left sided) cardiac,1
leg pain due to injury 20days back,1
scabies chronic  c weakness c hypotension,1
hemoptysis two weeks ago,1
malaise (calcium deficiency),1
since 3days,1
body pain post fight,1
malaise since 4-5days,1
pain in heels since 5 days,1
toothache -  cause,1
pain in rt. thigh (  trauma+),1
ringworm loose stools,1
sore  throat  cough  shortness  of breath,1
diarrhoea -  cause,1
weakness leg pain cough,1
cu mm ),1
platelet-96000 lakh,1
cu mm,1
tlc-3500,1
(hb-11.5,1
l small joint pain,1
pain abdomen in antenatal mother[3months ],1
lateral epicondyle pain rt side,1
hyperkeratotic,1
[appears during summer season],1
palpitation ( has addictions),1
dry itching on hands[2 months],1
contact dermatitis (construction worker),1
first degree burn- right leg,1
cough dry  c  colitis,1
osteoarthritis knee bilateral,1
scabies c chest pain  after trauma,1
itching weakness cough,1
anemia (hb-7gm,1
itching at stomach,1
lba post injury 3 days back,1
leag pain weakness,1
knee pain for 5 days,1
weakness amoebiasis worms,1
dental caries associated,1
lumbago c weakness  due to anemia c hypertension,1
(always low),1
pt involved in cement work since many years,1
o allergic dermatitis,1
feet s,1
ringworm ( not improving),1
leucorrhoea physiological c weakness c backache c sterility,1
pain in  lower abdomen not relieved,1
sweeling,1
(on antibiotics,1
irregular menstrual cycle since 2months,1
fever-2 nd day,1
ringworm c weakness cback ache c pain in limbs,1
weakness cough  skin infection,1
back pain ( left side more),1
bodyache gas anorexia,1
arthritis - left hand's mcp joint,1
pain in the nose,1
off feverish feeling,1
leucorrhoea on,1
weakness c arthritis knee c lumbago,1
lumbago c knee pain c weakness c skin allergy,1
pain abdomen (usg showling probable signs of obstruction),1
anc [ 7week ],1
4.3l + small ovarian cyst + pod collection),1
l calculi 3.2r,1
usg done (b,1
fuc of abdominal pain,1
itching all over body -  dry skin   cause,1
wet cough 2 days,1
leg pan b,1
has not felt better),1
abdominal swelling mild,1
anorexia c weakness  c headache  periodical,1
pregnacy  7 months,1
lower back ache since 10days after an episode of fever,1
miliaria weakness,1
lmp: delayed by 7 days,1
pain  in shoulder  weakness,1
shoulder weakness,1
decreased near visionn,1
lumbago c weakness c  bodyache c skin allergy,1
diagnosed case downâ€™s syndrome,1
malaise c headache c bodyache  c skin allergy,1
jaundice under evaluation,1
pain in rt wrist trauma,1
repetitive nasopharyngitis since 1yr,1
ringworm (on medication),1
raised bilirubin,1
low tlc,1
blood reports s,1
o itching over scalp,1
swelling over scalp since 4 days which is painless,1
weakness c faintness c bodyache,1
left ear pain c tinnitus,1
rta 3days back. dark circles around eyes (anaemia),1
painful crack in heel,1
body ache; vertigo,1
abdominal pain since last night [10 episodes],1
heal cracking x10d,1
psychological symtoms,1
utero vaginal prolapse,1
pain in right shoulder joint,1
piercing injury in feet 5 months back,1
wound (insect bite),1
feet pain weakness,1
abd pain -lt sided x 3 days,1
pain below right axilla,1
constipation n vertigo,1
acute sinsitis+ worm infestation,1
drug induced gerd,1
taking nsaids frequently,1
gerd since 4days,1
low bp - dizziness,1
anemia (hb-8.5),1
decreased urine output ( kft- s.urea-150mg% ; s.creatinine- 3.85mg%) (urine routine showing presence of albumin),1
hypertension (under regular medication),1
body heat,1
migraine c eye pain c c weakness,1
pain on rt side of chest due to trauma,1
pigmented rashes,1
did not happen today,1
itching between fingers,1
diabetes.  pt on insulin,1
left heel pain c indigestion c gastritis c weakness after exertion,1
loss of apetite. increased urinary frequency,1
lesion in the breast,1
left middle finger,1
injury over rt heel,1
history of fall 7 days back.,1
pimples on face   irregular menses weakness,1
rashes behind neck region,1
anaemia (hb-5g,1
post partum 2 mnt,1
lmp- 4 months back,1
oral fungal infection,1
neck pain  for 3 month,1
injury to thumb on falling 5 days.,1
leg pain since a day,1
swelling in eyelids (blepharitis),1
cough since 6 years,1
left leg (3 years back),1
fracture left hand,1
- fall down,1
both knees pain since 5 days,1
dysmenorrhoea (period pain),1
pain  eye  n  redness,1
arm itching,1
g4p3l3a0,1
anemia (hb 5.8g,1
piles ot causing pus,1
anamia according to pt,1
prom..,1
left ankle pain after sprain,1
injury to foot (alleged motorcycle accident),1
right eye pain (mild),1
polydypsia present,1
according to report -esr 42mm,1
history of polyuria,1
6  month anc,1
sob on exertion[1 year],1
weakness  leg pain n swelling,1
tingling sensation in rt arm,1
right sided hemiplegia,1
pain in legs[at site of past fracture],1
partially collapsed rt lung,1
hr,1
body pain' stomach pain'  loos motion,1
iching in underarms,1
high bg,1
hypertension ( pt is not taking mediciation even after prescribing ),1
cough (chronic smoker) copd,1
oa knee  b,1
weakness after  herpes zoster  c weakness c itching at scar of old herpes zoster lesion,1
rt knee pain post injury,1
knee pain giddiness,1
sore throat .,1
steroid abuse( face),1
anorexia c emaciation c pinworm in stool c scrotal swelling left,1
tension type headache ; left calf pain,1
renal stones operated 3yrs back,1
small swelling in face,1
urine flow restriction,1
skin heel crack itching,1
h---28-30,1
menarche since 4months. m,1
13yr old girl  p,1
headaches cough,1
actinic keratosis - face; b,1
o injury to left knee 15 days  ago,1
fb in eye (fb expelled ),1
weakness  c bodyache c hypertension c  headache   after hysterectomy  c  back pain   c indigestion,1
wound on leg s,1
left leg pain [weakness ],1
cough for 1 yr!,1
previous cycles regular,1
amenorrhoea (1.5 months),1
o fever since 15 days,1
ear pain   n discharge,1
ring worrm,1
flakyness,1
pigmentation on face associated,1
fracture in little toe,1
body ache; acute bronchitis; hemorrhoids- bleeding,1
fore head  hyperpigmentation,1
pruritis+,1
itchy feet only during evenings,1
o dengue 2weeks back. was hospitalized. blood transfusion was needed. hb%--7gm% on discharge,1
legs  pain',1
weakness  c pain heel c bodyache,1
left eye trauma,1
diabetic neuropathi,1
htn ( regular medication ),1
ear pain(since 1 year),1
headache  c bodyache c weakness c low fever c oedema skin due  to anemia,1
ulcer on leg,1
lump over neck region,1
htn. not on medications,1
anxiety (2months pregnant),1
non itchy bump in finger.,1
high systolic pressure,1
gastrtits,1
pain thighs,1
anorexia c  weakness c pinworm,1
itching both eye,1
feet since 1yr,1
itchy dermatitis in hand,1
high bp (no  hypertension),1
pain in right hand ( injury),1
loose stools- diarrhoea - 3 episodes from morning,1
lower back ache (radiating to both legs),1
left knee pain  for 4 years,1
o dm.,1
100 mm of hg. no h,1
htn on regular medications. bp--160,1
pain in the chest on mild touch.,1
history of fall 5 months back.,1
post enteritis weakness,1
gynae problem,1
cough cold chest pain since 5 days,1
15yr old boy  fever since 2days,1
iching on breast,1
rt flank + abd. pain,1
proximal interphalangel joint pain,1
alopecia areata  c weakness c anorexia,1
stomach pain' weakness,1
left eye discomfort,1
contact dermtitis,1
back pain in back,1
weakness  gas anorexia,1
headache  loos motion,1
left sided back pain on breathing,1
mild pain in scalp region,1
